CDS;ERR2036629;ERR2036630;ERR2036631;ERR2036632;ERR2036633
CMHJGECF_00202;210;148;2092;3440;189
CMHJGECF_00203;2708;1922;18540;24622;2417
CMHJGECF_00204;880;428;3800;3969;710
CMHJGECF_00205;174;128;835;1012;160
CMHJGECF_00206;475;271;3402;3118;410
CMHJGECF_00207;362;321;3379;3804;375
CMHJGECF_00208;571;495;5953;6299;640
CMHJGECF_00209;300;312;2534;2908;335
CMHJGECF_00210;66;48;768;1075;67
CMHJGECF_00211;1640;1034;12717;12697;1556
CMHJGECF_00212;284;248;2104;2598;250
CMHJGECF_00213;4351;4101;39149;53081;4630
CMHJGECF_00215;174;166;1182;1352;158
CMHJGECF_00216;75;59;589;791;72
CMHJGECF_00217;71;69;721;858;90
CMHJGECF_00218;552;466;3651;3326;544
CMHJGECF_00219;707;464;6348;5583;634
CMHJGECF_00220;212;171;1860;2105;198
CMHJGECF_00221;73;59;728;688;69
CMHJGECF_00222;415;244;1968;2198;321
CMHJGECF_00223;682;417;3066;3340;538
CMHJGECF_00224;562;396;2535;3480;464
CMHJGECF_00225;218;141;1073;1139;183
CMHJGECF_00226;735;314;2779;2941;481
CMHJGECF_00227;800;526;3485;4085;625
CMHJGECF_00228;869;453;4052;5679;438
CMHJGECF_00229;1114;651;6131;7844;715
CMHJGECF_00230;845;499;6390;7028;654
CMHJGECF_00231;437;242;1739;2269;274
CMHJGECF_00232;326;161;1687;1939;215
CMHJGECF_00233;698;475;4090;4666;556
CMHJGECF_00234;594;319;3330;3290;403
CMHJGECF_00235;129;72;936;1169;101
CMHJGECF_00236;540;428;3222;4084;485
CMHJGECF_00237;811;627;6713;6797;839
CMHJGECF_00238;218;228;1312;1739;257
CMHJGECF_00239;10;11;183;225;3
CMHJGECF_00240;38;40;230;241;49
CMHJGECF_00241;494;415;5190;5407;549
CMHJGECF_00242;393;356;4498;4359;470
CMHJGECF_00243;102;91;1277;1159;92
CMHJGECF_00244;414;335;3383;3972;383
CMHJGECF_00245;1412;1156;6477;7079;1244
CMHJGECF_00246;354;347;2626;3283;369
CMHJGECF_00247;185;154;922;1232;152
CMHJGECF_00248;557;482;3845;4679;568
CMHJGECF_00249;239;209;1629;1877;291
CMHJGECF_00250;723;546;5421;5274;682
CMHJGECF_00251;372;318;2672;3103;394
CMHJGECF_00252;59;74;637;840;50
CMHJGECF_00253;238;189;2167;1936;241
CMHJGECF_00254;2012;1366;14163;12614;1833
CMHJGECF_00255;6515;3770;33976;36757;5239
CMHJGECF_00256;745;422;3654;4354;490
CMHJGECF_00257;694;433;4314;6204;628
CMHJGECF_00258;221;161;879;1080;186
CMHJGECF_00259;222;186;1027;1227;213
CMHJGECF_00260;1535;1102;8005;8234;1410
CMHJGECF_00261;682;450;3097;3586;533
CMHJGECF_00262;324;239;1869;2081;293
